url	local_path	status	content_type	bytes
https://stadion-maksimir.zagreb.hr/en/Content/js/lg-zoom.umd.js		ERROR		0
https://stadion-maksimir.zagreb.hr/en/Content/js/lg-video.umd.js		ERROR		0
https://stadion-maksimir.zagreb.hr/en/Content/js/script.js		ERROR		0
https://stadion-maksimir.zagreb.hr/Home/SetLanguage?lang=en&returnUrl=%2Fen%2Fjury-members%2F110	site/Home/SetLanguage__lang_en_returnUrl__2Fen_2Fjury-members_2F110.html	200	text/html	132673
https://stadion-maksimir.zagreb.hr/Home/SetLanguage?lang=hr&returnUrl=%2Fen%2Fjury-members%2F110	site/Home/SetLanguage__lang_hr_returnUrl__2Fen_2Fjury-members_2F110.html	200	text/html	127516
https://stadion-maksimir.zagreb.hr/en/UserDocsImages/OcjenjivackiSud/01_Francois Chas.jpg		ERROR		0
https://stadion-maksimir.zagreb.hr/en/UserDocsImages/OcjenjivackiSud/02_Kersten Geers.jpg		ERROR		0
https://stadion-maksimir.zagreb.hr/en/UserDocsImages/OcjenjivackiSud/3_Vasa Perovic.jpg		ERROR		0
https://stadion-maksimir.zagreb.hr/en/UserDocsImages/OcjenjivackiSud/04_Nenad Fabijanic.jpg		ERROR		0
https://stadion-maksimir.zagreb.hr/en/UserDocsImages/OcjenjivackiSud/05_Toma Plejic.jpg		ERROR		0
https://stadion-maksimir.zagreb.hr/en/UserDocsImages/OcjenjivackiSud/6_Mia_Roth_Cerina.jpg		ERROR		0
https://stadion-maksimir.zagreb.hr/en/UserDocsImages/OcjenjivackiSud/07_Zvonimir Boban.jpg		ERROR		0
https://stadion-maksimir.zagreb.hr/en/UserDocsImages/OcjenjivackiSud/08_Tonci Glavina.jpg		ERROR		0
https://stadion-maksimir.zagreb.hr/en/UserDocsImages/OcjenjivackiSud/09_Tomislav Tomasevic.jpg		ERROR		0
https://stadion-maksimir.zagreb.hr/en/UserDocsImages/OcjenjivackiSud/10_Vjera Bakic.jpg		ERROR		0
https://stadion-maksimir.zagreb.hr/en/UserDocsImages/OcjenjivackiSud/11_Iva Hudan.jpg		ERROR		0
https://stadion-maksimir.zagreb.hr/en/UserDocsImages/OcjenjivackiSud/12_Luka Korlaet.jpg		ERROR		0
https://stadion-maksimir.zagreb.hr/Home/SetLanguage?lang=en&returnUrl=%2Fen%2Fregistration%2F124	site/Home/SetLanguage__lang_en_returnUrl__2Fen_2Fregistration_2F124.html	200	text/html	127002
https://stadion-maksimir.zagreb.hr/Home/SetLanguage?lang=hr&returnUrl=%2Fen%2Fregistration%2F124	site/Home/SetLanguage__lang_hr_returnUrl__2Fen_2Fregistration_2F124.html	200	text/html	121662
https://stadion-maksimir.zagreb.hr/UserDocsImages/OcjenjivackiSud/01_Francois Chas.jpg	site/UserDocsImages/OcjenjivackiSud/01_Francois Chas.jpg	200	image/jpeg	106679
https://stadion-maksimir.zagreb.hr/UserDocsImages/OcjenjivackiSud/02_Kersten Geers.jpg	site/UserDocsImages/OcjenjivackiSud/02_Kersten Geers.jpg	200	image/jpeg	60614
https://stadion-maksimir.zagreb.hr/UserDocsImages/OcjenjivackiSud/3_Vasa Perovic.jpg	site/UserDocsImages/OcjenjivackiSud/3_Vasa Perovic.jpg	200	image/jpeg	261807
https://stadion-maksimir.zagreb.hr/UserDocsImages/OcjenjivackiSud/04_Nenad Fabijanic.jpg	site/UserDocsImages/OcjenjivackiSud/04_Nenad Fabijanic.jpg	200	image/jpeg	49605
https://stadion-maksimir.zagreb.hr/UserDocsImages/OcjenjivackiSud/05_Toma Plejic.jpg	site/UserDocsImages/OcjenjivackiSud/05_Toma Plejic.jpg	200	image/jpeg	217670
https://stadion-maksimir.zagreb.hr/UserDocsImages/OcjenjivackiSud/6_Mia_Roth_Cerina.jpg	site/UserDocsImages/OcjenjivackiSud/6_Mia_Roth_Cerina.jpg	200	image/jpeg	92375
https://stadion-maksimir.zagreb.hr/UserDocsImages/OcjenjivackiSud/07_Zvonimir Boban.jpg	site/UserDocsImages/OcjenjivackiSud/07_Zvonimir Boban.jpg	200	image/jpeg	262894
https://stadion-maksimir.zagreb.hr/UserDocsImages/OcjenjivackiSud/08_Tonci Glavina.jpg	site/UserDocsImages/OcjenjivackiSud/08_Tonci Glavina.jpg	200	image/jpeg	221001
https://stadion-maksimir.zagreb.hr/UserDocsImages/OcjenjivackiSud/09_Tomislav Tomasevic.jpg	site/UserDocsImages/OcjenjivackiSud/09_Tomislav Tomasevic.jpg	200	image/jpeg	268673
https://stadion-maksimir.zagreb.hr/UserDocsImages/OcjenjivackiSud/10_Vjera Bakic.jpg	site/UserDocsImages/OcjenjivackiSud/10_Vjera Bakic.jpg	200	image/jpeg	143855
https://stadion-maksimir.zagreb.hr/UserDocsImages/OcjenjivackiSud/11_Iva Hudan.jpg	site/UserDocsImages/OcjenjivackiSud/11_Iva Hudan.jpg	200	image/jpeg	149588
https://stadion-maksimir.zagreb.hr/UserDocsImages/OcjenjivackiSud/12_Luka Korlaet.jpg	site/UserDocsImages/OcjenjivackiSud/12_Luka Korlaet.jpg	200	image/jpeg	40441
https://stadion-maksimir.zagreb.hr/UserDocsImages/OcjenjivackiSud/05_TOma Plejic.jpg	site/UserDocsImages/OcjenjivackiSud/05_TOma Plejic.jpg	200	image/jpeg	217670
